ProjID,market,leaseup_months,stabilized,Name,Submarket,Quantity,AreaPerUnit,occ_velocity,concession_burn_rate,rent_gap_vs_submarket,grade_score,delivery_era,delivery_season,log_quantity,season_enc,era_enc,market_enc
36483,"Austin-Round Rock, TX",12.0,True,Gibson Flats,South Austin,202,778,0.024333333333333332,0.0,643.0,1.0,Recovery,Fall,5.308267697401205,2,1,1
66159,"Austin-Round Rock, TX",13.0,True,Griffis at Riata,Northwest Austin,307,931,0.09233333333333332,0.0,347.5,1.0,Expansion,Spring,5.726847747587197,0,2,1
19841,"Austin-Round Rock, TX",5.0,True,Griffis Southpark,Southeast Austin,328,907,0.043666666666666666,6.736713389640103e-05,151.5,1.0,Pre-GFC,Winter,5.793013608384144,3,0,1
86194,"Austin-Round Rock, TX",15.0,True,Groves South Lamar,South Austin,307,776,0.043333333333333335,-0.005037202809761337,208.5,3.0,Expansion,Summer,5.726847747587197,1,2,1
10262616,"Austin-Round Rock, TX",,False,Hawthorne at Blanco Riverwalk,San Marcos,252,982,-0.048,-0.0067008652216083014,167.0,,COVID,Summer,5.529429087511423,1,3,1
71730,"Austin-Round Rock, TX",11.0,True,Hays Junction I,San Marcos,207,772,0.11266666666666668,-0.0028790786948176546,90.0,4.0,Expansion,Summer,5.332718793265369,1,2,1
86196,"Austin-Round Rock, TX",9.0,True,Hays Junction II,San Marcos,102,828,0.013333333333333345,0.0012813967365984892,243.0,4.0,Expansion,Fall,4.624972813284271,2,2,1
90323,"Austin-Round Rock, TX",,False,Hermosa Village,Cedar Park,238,1010,0.04066666666666667,0.002499996844683327,126.0,,Expansion,Fall,5.472270673671475,2,2,1
52258,"Austin-Round Rock, TX",7.0,True,HighLine,Northwest Austin,256,890,0.10133333333333334,0.0,145.5,3.0,Expansion,Winter,5.545177444479562,3,2,1
70346,"Austin-Round Rock, TX",,False,Hollybrook Ranch,Round Rock/Georgetown,336,1069,0.021666666666666664,-4.2485565207366537e-05,121.0,,COVID,Spring,5.817111159963204,0,3,1
10255580,"Austin-Round Rock, TX",5.0,True,Hunters Crossing Apartments,Southeast Austin,182,833,0.19600000000000004,0.0,17.0,4.0,Expansion,Spring,5.204006687076795,0,2,1
37329,"Austin-Round Rock, TX",4.0,True,IMT at The Domain,North Central Austin,228,891,0.19999999999999998,0.0,613.0,1.0,Recovery,Summer,5.429345628954441,1,1,1
44462,"Austin-Round Rock, TX",10.0,True,IMT Southpark North,Far South Austin,286,857,0.078,-0.004106073567151409,111.5,1.0,Recovery,Fall,5.655991810819852,2,1,1
44464,"Austin-Round Rock, TX",17.0,True,IMT Southpark South,Far South Austin,283,859,0.049666666666666665,-0.0036536353671903533,90.0,2.0,Expansion,Winter,5.645446897643238,3,2,1
71149,"Austin-Round Rock, TX",9.0,True,Indie,East Austin,139,410,-0.13933333333333334,-0.004224418851305722,192.5,1.0,Expansion,Winter,4.9344739331306915,3,2,1
38377,"Austin-Round Rock, TX",11.0,True,Indigo,Cedar Park,325,908,0.10133333333333333,-0.002713704206241518,106.5,1.0,Recovery,Spring,5.783825182329737,0,1,1
44496,"Austin-Round Rock, TX",16.0,True,James on South First,Far South Austin,250,905,0.07866666666666666,0.002050781250000001,104.5,2.0,Expansion,Summer,5.521460917862246,1,2,1
44456,"Austin-Round Rock, TX",11.0,True,Kenzie at the Domain,North Central Austin,279,851,0.059666666666666666,0.0028696051423324183,653.0,1.0,Expansion,Winter,5.631211781821365,3,2,1
41412,"Austin-Round Rock, TX",6.0,True,La Frontera Square,Round Rock/Georgetown,412,846,0.02199999999999998,-0.02580645161290317,72.0,1.0,Recovery,Spring,6.021023349349527,0,1,1
36480,"Austin-Round Rock, TX",9.0,True,Ladera,Far South Austin,311,876,0.06566666666666666,-0.005064599483204133,62.5,1.0,Recovery,Fall,5.739792912179234,2,1,1
71736,"Austin-Round Rock, TX",14.0,True,Lakeline Crossing I,Cedar Park,301,863,0.08433333333333333,-0.004586028215893214,-89.0,4.0,Expansion,Summer,5.707110264748875,1,2,1
71738,"Austin-Round Rock, TX",,False,Lakeline Crossing II,Cedar Park,203,836,0.06149999999999997,0.00998868747811565,14.5,,COVID,Summer,5.313205979041787,1,3,1
38376,"Austin-Round Rock, TX",11.0,True,Lakeline East,Cedar Park,348,860,0.07666666666666667,0.0,115.5,1.0,Recovery,Fall,5.8522024797744745,2,1,1
36484,"Austin-Round Rock, TX",27.0,True,Lamar Union,South Austin,442,817,0.03166666666666667,-0.00047691430551526597,639.0,1.0,Expansion,Fall,6.091309882077698,2,2,1
53330,"Austin-Round Rock, TX",8.0,True,Landmark Conservancy,Southwest Austin,240,832,0.09733333333333334,-0.005061983471074375,-51.0,4.0,Expansion,Winter,5.480638923341991,3,2,1
86185,"Austin-Round Rock, TX",21.0,True,Lantower Ambrosio,Pflugerville/Wells Branch,370,753,0.043333333333333335,-0.0013371178043166069,12.0,3.0,Expansion,Fall,5.91350300563827,2,2,1
57279,"Austin-Round Rock, TX",16.0,True,Lantower Tech Ridge,Pflugerville/Wells Branch,375,726,0.08966666666666667,0.0011824324324324312,-43.0,1.0,Expansion,Spring,5.926926025970411,0,2,1
20040,"Austin-Round Rock, TX",19.0,True,Las Brisas Luxury Apartment Homes,Round Rock/Georgetown,414,990,0.08933333333333333,-0.0006433854011209471,169.5,4.0,Recovery,Spring,6.025865973825314,0,1,1
64775,"Austin-Round Rock, TX",22.0,True,Latitude at Presidio,Cedar Park,337,1018,0.052333333333333336,-0.0017494306098486774,284.0,2.0,Expansion,Winter,5.820082930352362,3,2,1
10258133,"Austin-Round Rock, TX",,False,Leander Junction,Cedar Park,288,793,0.066,0.019521329576822996,-91.0,,COVID,Summer,5.662960480135946,1,3,1
33925,"Austin-Round Rock, TX",13.0,True,Legends Lakeline,Cedar Park,222,965,0.066,-0.0027525168508865682,245.0,1.0,Recovery,Winter,5.402677381872279,3,1,1
65626,"Austin-Round Rock, TX",12.0,True,Lenox Boardwalk,Riverside,338,816,0.034333333333333334,-0.0013328904756926333,538.0,1.0,Expansion,Fall,5.823045895483019,2,2,1
82401,"Austin-Round Rock, TX",,False,Lenox Ridge,Northwest Austin,350,904,0.06566666666666666,0.00347338131085788,267.5,,Expansion,Fall,5.857933154483459,2,2,1
91541,"Austin-Round Rock, TX",,False,Lenox SOCO,Far South Austin,300,832,0.09666666666666668,0.0006250438873673991,102.0,,COVID,Spring,5.703782474656201,0,3,1
76201,"Austin-Round Rock, TX",12.0,True,Lenox Springs I,Far South Austin,400,825,0.05100000000000001,0.0,107.0,2.0,Expansion,Fall,5.991464547107982,2,2,1
10261515,"Austin-Round Rock, TX",,False,Linea Stillwater,Round Rock/Georgetown,230,1534,0.03333333333333333,-0.0118439716312058,306.5,,COVID,Spring,5.438079308923196,0,3,1
53642,"Austin-Round Rock, TX",12.0,True,Lone Oak,Round Rock/Georgetown,304,986,0.08533333333333333,-0.003438688908399183,123.5,2.0,Expansion,Summer,5.717027701406222,1,2,1
36477,"Austin-Round Rock, TX",10.0,True,Lotus Village,North Central Austin,222,922,0.08233333333333333,-0.00169491525423728,266.5,4.0,Recovery,Summer,5.402677381872279,1,1,1
10263165,"Austin-Round Rock, TX",,False,Mansions at Onion Creek,Southeast Austin,434,942,0.06899999999999999,-0.035327368092622394,164.5,,COVID,Summer,6.073044534100405,1,3,1
10258176,"Austin-Round Rock, TX",,False,Mariposa Flats,Riverside,122,566,0.043666666666666666,0.013562091503267981,67.5,,COVID,Spring,4.804021044733257,0,3,1
51760,"Austin-Round Rock, TX",16.0,True,Marq on Burnet,Near North Austin,343,747,0.07466666666666667,-0.001833180924654125,369.5,1.0,Expansion,Summer,5.8377304471659395,1,2,1
