stabilized,delivery_month,stabilization_month,leaseup_months,ProjID,Name,Submarket,Quantity,AreaPerUnit,YearBuilt,market
True,2014-02-01,2014-12-01,10.0,42660,Muir Lake,Cedar Park,332,968,2014,"Austin-Round Rock, TX"
True,2016-04-01,2017-08-01,16.0,42276,Northshore Austin I,Downtown/University,439,1019,2016,"Austin-Round Rock, TX"
True,2012-10-01,2013-04-01,6.0,37339,Oaks at Tech Ridge,Pflugerville/Wells Branch,336,739,2013,"Austin-Round Rock, TX"
True,2016-09-01,2017-06-01,9.0,71761,Oaks of Kyle,San Marcos,203,849,2017,"Austin-Round Rock, TX"
True,2017-09-01,2019-03-01,18.0,86203,Oaks on Marketplace,San Marcos,254,854,2017,"Austin-Round Rock, TX"
True,2016-09-01,2017-12-01,15.0,55187,Ocotillo,Southwest Austin,308,852,2017,"Austin-Round Rock, TX"
True,2019-12-01,2020-03-01,3.0,10253991,Oxford at Santa Clara,Pflugerville/Wells Branch,300,800,2019,"Austin-Round Rock, TX"
True,2010-07-01,2010-12-01,5.0,33780,Oxford at Tech Ridge,North Central Austin,256,866,2010,"Austin-Round Rock, TX"
True,2009-03-01,2009-10-01,7.0,19831,Palm Valley Apartments,Round Rock/Georgetown,340,971,2009,"Austin-Round Rock, TX"
True,2018-07-01,2019-08-01,13.0,91026,Palo Verde,Southwest Austin,296,858,2019,"Austin-Round Rock, TX"
True,2015-05-01,2016-05-01,12.0,53304,Parallax @ Georgetown,Round Rock/Georgetown,288,831,2015,"Austin-Round Rock, TX"
True,2016-09-01,2018-04-01,19.0,42348,Park at Crystal Falls I,Cedar Park,242,869,2017,"Austin-Round Rock, TX"
True,2018-05-01,2019-07-01,14.0,71883,Park at Crystal Falls II,Cedar Park,237,868,2018,"Austin-Round Rock, TX"
True,2008-06-01,2009-11-01,17.0,87856,Park Place at Loyola,East Austin,252,1015,2008,"Austin-Round Rock, TX"
